input1_x,input1_y,input1_z,input2_x,input2_y,input2_z,p_x,p_y,p_z,p_c
-238.7894999,-854.4055871,13.80622526,-484.8463341,-583.4972956,121.330739,-491.45428,-444.9354,89.43534,177.13243
-238.7894999,-854.4055871,13.80622526,-484.8463341,-583.4972956,121.330739,-491.65012,-447.1815,90.53652,176.71207
-238.7894999,-854.4055871,13.80622526,-484.8463341,-583.4972956,121.330739,-492.27545,-448.0247,91.83213,175.36923
-238.7894999,-854.4055871,13.80622526,-484.8463341,-583.4972956,121.330739,-488.03555,-452.10596,95.13903,175.98412
-238.7894999,-854.4055871,13.80622526,-484.8463341,-583.4972956,121.330739,-490.44116,-447.65265,91.770485,176.28473
-238.7894999,-854.4055871,13.80622526,-484.8463341,-583.4972956,121.330739,-492.49765,-450.42264,90.860146,178.09459
-238.7894999,-854.4055871,13.80622526,-484.8463341,-583.4972956,121.330739,-494.2086,-448.1422,89.706535,177.28029
-238.7894999,-854.4055871,13.80622526,-484.8463341,-583.4972956,121.330739,-491.703,-446.50168,89.266884,176.39944
-238.7894999,-854.4055871,13.80622526,-484.8463341,-583.4972956,121.330739,-489.87292,-447.14627,92.431206,175.29721
-238.7894999,-854.4055871,13.80622526,-484.8463341,-583.4972956,121.330739,-492.5772,-451.01587,91.03623,176.85104
-238.7894999,-854.4055871,13.80622526,-484.8463341,-583.4972956,121.330739,-492.6466,-446.87985,88.36909,178.77568
-238.7894999,-854.4055871,13.80622526,-484.8463341,-583.4972956,121.330739,-492.30127,-449.2453,89.66285,177.48839
-238.7894999,-854.4055871,13.80622526,-484.8463341,-583.4972956,121.330739,-485.09436,-447.89655,94.45069,176.32428
-238.7894999,-854.4055871,13.80622526,-484.8463341,-583.4972956,121.330739,-495.88174,-450.5245,88.6634,180.95702
-238.7894999,-854.4055871,13.80622526,-484.8463341,-583.4972956,121.330739,-484.42432,-451.3593,97.44312,181.68338
-238.7894999,-854.4055871,13.80622526,-484.8463341,-583.4972956,121.330739,-469.99857,-481.0483,108.965454,187.40846
-238.7894999,-854.4055871,13.80622526,-484.8463341,-583.4972956,121.330739,-447.7003,-503.754,116.78019,187.96843
-238.7894999,-854.4055871,13.80622526,-484.8463341,-583.4972956,121.330739,-422.2667,-527.7365,125.355835,187.69489
-238.7894999,-854.4055871,13.80622526,-484.8463341,-583.4972956,121.330739,-387.95895,-553.3135,133.93842,184.09514
-238.7894999,-854.4055871,13.80622526,-484.8463341,-583.4972956,121.330739,-355.9431,-583.26196,133.86427,175.28749
-238.7894999,-854.4055871,13.80622526,-484.8463341,-583.4972956,121.330739,-324.17926,-611.20953,126.00948,167.51613
-238.7894999,-854.4055871,13.80622526,-484.8463341,-583.4972956,121.330739,-289.26938,-626.7054,130.56477,156.76729
-238.7894999,-854.4055871,13.80622526,-484.8463341,-583.4972956,121.330739,-271.33298,-626.1173,127.86026,142.52997
-238.7894999,-854.4055871,13.80622526,-484.8463341,-583.4972956,121.330739,-268.81982,-625.88965,122.90736,138.60301
-238.7894999,-854.4055871,13.80622526,-484.8463341,-583.4972956,121.330739,-267.5584,-623.78326,123.727135,137.90338
-238.7894999,-854.4055871,13.80622526,-484.8463341,-583.4972956,121.330739,-261.2412,-623.3644,136.42068,141.58461
-238.7894999,-854.4055871,13.80622526,-484.8463341,-583.4972956,121.330739,-263.16513,-630.0695,138.52774,135.05763
-238.7894999,-854.4055871,13.80622526,-484.8463341,-583.4972956,121.330739,-261.22928,-632.4738,138.86096,132.94104
-238.7894999,-854.4055871,13.80622526,-484.8463341,-583.4972956,121.330739,-246.57384,-625.4162,150.10645,133.21753
-238.7894999,-854.4055871,13.80622526,-484.8463341,-583.4972956,121.330739,-252.25989,-630.18115,152.50728,129.98091
-238.7894999,-854.4055871,13.80622526,-484.8463341,-583.4972956,121.330739,-255.23087,-632.4066,152.13812,130.12071
-238.7894999,-854.4055871,13.80622526,-484.8463341,-583.4972956,121.330739,-265.90976,-637.0412,139.21165,123.08153
-238.7894999,-854.4055871,13.80622526,-484.8463341,-583.4972956,121.330739,-262.56805,-636.1071,142.17943,125.50329
-238.7894999,-854.4055871,13.80622526,-484.8463341,-583.4972956,121.330739,-265.26257,-636.06494,140.48499,123.54793
-238.7894999,-854.4055871,13.80622526,-484.8463341,-583.4972956,121.330739,-266.8283,-635.2374,140.77109,124.51294
-238.7894999,-854.4055871,13.80622526,-484.8463341,-583.4972956,121.330739,-263.2933,-633.3249,145.1464,126.54292
-238.7894999,-854.4055871,13.80622526,-484.8463341,-583.4972956,121.330739,-267.18036,-635.7842,143.71758,124.6261
-238.7894999,-854.4055871,13.80622526,-484.8463341,-583.4972956,121.330739,-264.18002,-633.6664,146.23343,122.74397
-238.7894999,-854.4055871,13.80622526,-484.8463341,-583.4972956,121.330739,-269.0613,-637.1473,141.28694,127.10338
-238.7894999,-854.4055871,13.80622526,-484.8463341,-583.4972956,121.330739,-262.81854,-635.55597,146.44806,123.370255
-238.7894999,-854.4055871,13.80622526,-484.8463341,-583.4972956,121.330739,-261.6463,-634.5821,146.31093,124.310715
-238.7894999,-854.4055871,13.80622526,-484.8463341,-583.4972956,121.330739,-263.61505,-634.7922,145.03706,123.84942
-238.7894999,-854.4055871,13.80622526,-484.8463341,-583.4972956,121.330739,-269.88565,-635.4772,139.58067,125.78297
-238.7894999,-854.4055871,13.80622526,-484.8463341,-583.4972956,121.330739,-261.7342,-634.01166,148.1895,128.20897
-238.7894999,-854.4055871,13.80622526,-484.8463341,-583.4972956,121.330739,-256.9092,-630.8562,151.37445,129.28337
-238.7894999,-854.4055871,13.80622526,-484.8463341,-583.4972956,121.330739,-253.6599,-627.3885,151.25922,134.84476
-238.7894999,-854.4055871,13.80622526,-484.8463341,-583.4972956,121.330739,-262.6682,-631.83026,140.82547,130.43651
-238.7894999,-854.4055871,13.80622526,-484.8463341,-583.4972956,121.330739,-260.43634,-629.8995,145.65805,134.36613
-238.7894999,-854.4055871,13.80622526,-484.8463341,-583.4972956,121.330739,-260.62744,-622.4992,148.37323,143.42879
-238.7894999,-854.4055871,13.80622526,-484.8463341,-583.4972956,121.330739,-266.11963,-624.9358,139.15012,141.83804
-238.7894999,-854.4055871,13.80622526,-484.8463341,-583.4972956,121.330739,-265.73447,-628.8239,133.33101,142.91882
-238.7894999,-854.4055871,13.80622526,-484.8463341,-583.4972956,121.330739,-261.3322,-628.9716,139.56566,149.26967
-238.7894999,-854.4055871,13.80622526,-484.8463341,-583.4972956,121.330739,-270.58865,-628.2205,134.18715,147.12692
-238.7894999,-854.4055871,13.80622526,-484.8463341,-583.4972956,121.330739,-278.87616,-629.7887,130.89412,151.38913
-238.7894999,-854.4055871,13.80622526,-484.8463341,-583.4972956,121.330739,-311.46588,-614.1702,128.52104,172.1704
-238.7894999,-854.4055871,13.80622526,-484.8463341,-583.4972956,121.330739,-359.06345,-584.4117,119.664955,173.78963
-238.7894999,-854.4055871,13.80622526,-484.8463341,-583.4972956,121.330739,-402.04044,-555.2092,111.13189,176.47353
-238.7894999,-854.4055871,13.80622526,-484.8463341,-583.4972956,121.330739,-436.33017,-512.64014,107.4079,186.12904
-238.7894999,-854.4055871,13.80622526,-484.8463341,-583.4972956,121.330739,-444.6429,-477.15912,107.173744,181.22972
-238.7894999,-854.4055871,13.80622526,-484.8463341,-583.4972956,121.330739,-453.6212,-453.3937,105.78677,176.9777
-238.7894999,-854.4055871,13.80622526,-484.8463341,-583.4972956,121.330739,-465.40268,-444.7976,103.23719,178.72342
-238.7894999,-854.4055871,13.80622526,-484.8463341,-583.4972956,121.330739,-467.14633,-439.5392,100.31511,181.74458
-238.7894999,-854.4055871,13.80622526,-484.8463341,-583.4972956,121.330739,-465.46732,-441.91962,97.5185,178.62657
-238.7894999,-854.4055871,13.80622526,-484.8463341,-583.4972956,121.330739,-468.20038,-441.76773,95.26244,181.583
-238.7894999,-854.4055871,13.80622526,-484.8463341,-583.4972956,121.330739,-474.77545,-441.465,93.64129,183.94675
-238.7894999,-854.4055871,13.80622526,-484.8463341,-583.4972956,121.330739,-469.50485,-438.53003,93.28495,186.44243
-238.7894999,-854.4055871,13.80622526,-484.8463341,-583.4972956,121.330739,-473.97675,-439.75745,92.17945,184.02126
-238.7894999,-854.4055871,13.80622526,-484.8463341,-583.4972956,121.330739,-470.8248,-442.1798,94.24505,183.35065
